,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,HAND_LENGTH,HAND_WIDTH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
111,1629652,Arizona State,32.5,38.0,10.79,3.13,3.22,14.0,Luguentz Dort,PG,74.75,222.2,80.5,99.5,8.5,9.0,4442,1403,585,348,150,3706,1511,868,686,406,363
112,1630245,Illinois,27.0,33.5,11.51,3.27,3.23,,Ayo Dosunmu,SG,75.5,194.40,82.25,102.0,8.5,8.75,2856,811,912,233,109,2273,1140,344,266,379,279
113,1628408,South Carolina,34.0,39.0,10.84,2.98,3.15,9.0,PJ Dozier,SG,77.25,200.6,83.0,101.0,8.5,9.5,700,337,204,65,35,670,270,116,75,93,130
114,203083,Connecticut,31.5,33.5,10.83,,3.39,10.0,Andre Drummond,C,81.75,278.6,90.25,109.5,9.5,9.5,13570,13076,1484,1383,1358,10542,5687,4359,2173,2064,1080
115,1630561,Providence,30.0,39.0,11.21,3.19,3.08,,David Duke Jr.,SG,76.25,203.60,80.75,102.5,8.5,9.0,231,111,47,27,8,218,91,43,33,32,55
116,1627739,Providence,,,,,,,Kris Dunn,PG,75.0,,81.5,100.0,,,3116,1355,1617,597,171,2907,1271,425,313,634,407
117,1642346,nan,32.0,38.5,10.99,2.88,3.12,,Ryan Dunn,PF,78.25,213.60,85.5,103.0,9.0,9.75,511,267,57,44,40,477,205,39,19,40,74
118,201142,Texas,26.0,33.5,12.33,,3.45,0.0,Kevin Durant,SF-PF,81.0,215,88.75,110.0,,,31937,8141,5143,1208,1340,21861,11025,8605,7603,3710,1170
119,1631105,Memphis,,,,,,,Jalen Duren,C,,,,,,,2371,2111,431,131,195,1508,985,580,401,357,206
120,1631106,Louisiana State,,,,,,,Tari Eason,PF,78.75,217.40,86.0,107.5,9.25,11.0,1661,1011,198,224,116,1408,656,282,209,186,161
121,1641744,Purdue,26.0,29.5,11.37,,3.45,,Zach Edey,C,87.25,306.40,94.5,115.5,9.75,11.0,610,548,65,36,85,433,251,127,90,88,66
122,1641744,Purdue,26.0,29.5,11.37,,3.45,,Zach Edey,C,87.75,299.00,94.75,115.0,10.0,10.75,610,548,65,36,85,433,251,127,90,88,66
123,1641744,Purdue,26.0,31.5,11.19,3.01,3.42,,Zach Edey,C,87.25,306.40,94.5,115.5,9.75,11.0,610,548,65,36,85,433,251,127,90,88,66
